carat,depth,table,x,y,z,cut,price
0.23,61.5,55,3.95,3.98,2.43,4,326
0.21,59.8,61,3.89,3.84,2.31,3,326
0.23,56.9,65,4.05,4.07,2.31,1,327
0.29,62.4,58,4.2,4.23,2.63,3,334
0.31,63.3,58,4.34,4.35,2.75,1,335
0.24,62.8,57,3.94,3.96,2.48,2,336
0.24,62.3,57,3.95,3.98,2.47,2,336
0.26,61.9,55,4.07,4.11,2.53,2,337
0.22,65.1,61,3.87,3.78,2.49,0,337
0.23,59.4,61,4,4.05,2.39,2,338
0.3,64,55,4.25,4.28,2.73,1,339
0.23,62.8,56,3.93,3.9,2.46,4,340
0.22,60.4,61,3.88,3.84,2.33,3,342
0.31,62.2,54,4.35,4.37,2.71,4,344
0.2,60.2,62,3.79,3.75,2.27,3,345
0.32,60.9,58,4.38,4.42,2.68,3,345
0.3,62,54,4.31,4.34,2.68,4,348
0.3,63.4,54,4.23,4.29,2.7,1,351
0.3,63.8,56,4.23,4.26,2.71,1,351
0.3,62.7,59,4.21,4.27,2.66,2,351
0.3,63.3,56,4.26,4.3,2.71,1,351
0.23,63.8,55,3.85,3.92,2.48,2,352
0.23,61,57,3.94,3.96,2.41,2,353
0.31,59.4,62,4.39,4.43,2.62,2,353
0.31,58.1,62,4.44,4.47,2.59,2,353
0.23,60.4,58,3.97,4.01,2.41,2,354
0.24,62.5,57,3.97,3.94,2.47,3,355
0.3,62.2,57,4.28,4.3,2.67,2,357
0.23,60.5,61,3.96,3.97,2.4,2,357
0.23,60.9,57,3.96,3.99,2.42,2,357
0.23,60,57,4,4.03,2.41,2,402
0.23,59.8,57,4.04,4.06,2.42,2,402
0.23,60.7,59,3.97,4.01,2.42,2,402
0.23,59.5,58,4.01,4.06,2.4,2,402
0.23,61.9,58,3.92,3.96,2.44,2,402
0.23,58.2,59,4.06,4.08,2.37,1,402
0.23,64.1,59,3.83,3.85,2.46,1,402
0.31,64,54,4.29,4.31,2.75,1,402
0.26,60.8,59,4.13,4.16,2.52,2,403
0.33,61.8,55,4.49,4.51,2.78,4,403
0.33,61.2,56,4.49,4.5,2.75,4,403
0.33,61.1,56,4.49,4.55,2.76,4,403
0.26,65.2,56,3.99,4.02,2.61,1,403
0.26,58.4,63,4.19,4.24,2.46,1,403
0.32,63.1,56,4.34,4.37,2.75,1,403
0.29,62.4,58,4.24,4.26,2.65,3,403
0.32,61.8,55,4.35,4.42,2.71,2,403
0.32,63.8,56,4.36,4.38,2.79,1,403
0.25,63.3,60,4,4.03,2.54,2,404
0.29,60.7,60,4.33,4.37,2.64,2,404
0.24,60.9,61,4.02,4.03,2.45,2,404
0.23,61.9,54,3.93,3.95,2.44,4,404
0.32,60.9,55,4.45,4.48,2.72,4,404
0.22,61.6,58,3.93,3.89,2.41,3,404
0.22,59.3,62,3.91,3.88,2.31,3,404
0.3,61,59,4.3,4.33,2.63,4,405
0.3,59.3,61,4.43,4.38,2.61,3,405
0.3,62.6,57,4.25,4.28,2.67,2,405
0.3,63,57,4.28,4.32,2.71,2,405
0.3,63.2,55,4.25,4.29,2.7,1,405
0.35,60.9,57,4.54,4.59,2.78,4,552
0.3,62.6,59,4.23,4.27,2.66,3,552
0.3,62.5,57,4.29,4.32,2.69,4,552
0.3,62.1,56,4.3,4.33,2.68,4,552
0.42,61.5,59,4.78,4.84,2.96,3,552
0.28,61.4,56,4.19,4.22,2.58,4,553
0.32,62,55.3,4.39,4.42,2.73,4,553
0.31,63.3,57,4.33,4.3,2.73,2,553
0.31,61.8,58,4.35,4.32,2.68,3,553
0.24,60.7,58,4.01,4.03,2.44,3,553
0.24,61.5,60,3.97,4,2.45,2,553
0.3,63.1,56,4.29,4.27,2.7,2,554
0.3,62.9,59,4.28,4.24,2.68,3,554
0.3,62.5,57,4.29,4.25,2.67,3,554
0.3,63.7,57,4.28,4.26,2.72,1,554
0.26,59.2,60,4.19,4.22,2.49,2,554
0.26,59.9,58,4.15,4.23,2.51,2,554
0.26,62.4,54,4.08,4.13,2.56,2,554
0.26,62.8,60,4.01,4.05,2.53,2,554
0.26,62.6,59,4.06,4.09,2.55,2,554
0.26,63.4,59,4,4.04,2.55,2,554
0.26,62.1,60,4.03,4.12,2.53,2,554
0.26,62.9,58,4.02,4.06,2.54,4,554
